Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Sh,SoT,FK,PKatt,Team,Logo
2024-08-17,Away,D,1,1,Nottingham Forest,1.2,1.3,47.0,13,4,1.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-08-25,Home,D,1,1,Newcastle United,2.2,1.6,39.0,16,4,1.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-08-31,Away,W,3,2,Everton,2.4,1.8,53.0,17,7,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-09-14,Home,L,0,1,Chelsea,1.7,0.8,34.0,18,6,0.0,1,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-09-21,Away,L,0,3,Liverpool,1.1,2.0,42.0,19,6,1.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-09-30,Home,W,3,1,Southampton,1.3,0.6,40.0,14,6,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-10-05,Away,L,0,1,Leicester City,2.1,0.8,55.0,19,2,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-10-19,Home,W,2,0,Arsenal,1.8,0.7,49.0,12,3,0.0,1,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-10-26,Away,D,1,1,Aston Villa,0.3,1.8,43.0,10,3,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-11-02,Home,W,2,1,Manchester City,2.0,1.6,36.0,12,6,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-11-09,Away,L,2,3,Brentford,2.6,1.5,49.0,15,3,1.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-11-23,Home,L,1,2,Brighton and Hove Albion,1.6,0.9,55.0,19,5,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-11-30,Away,W,4,2,Wolverhampton Wanderers,3.3,0.5,40.0,9,5,0.0,3,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-12-05,Home,W,1,0,Tottenham Hotspur,3.5,0.9,35.0,21,8,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-12-08,Away,W,2,1,Ipswich Town,3.2,1.3,56.0,22,6,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-12-16,Home,D,1,1,West Ham United,1.9,2.1,52.0,29,9,1.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-12-22,Away,W,3,0,Manchester United,1.6,2.2,40.0,9,4,0.0,1,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-12-26,Home,D,0,0,Crystal Palace,1.4,0.4,52.0,18,3,1.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2024-12-29,Away,D,2,2,Fulham,2.0,1.1,48.0,16,8,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2025-01-04,Home,W,1,0,Everton,1.8,0.7,58.0,19,8,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2025-01-14,Away,D,2,2,Chelsea,1.2,2.5,43.0,6,2,0.0,1,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2025-01-18,Away,W,4,1,Newcastle United,2.0,0.8,44.0,19,10,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2025-01-25,Home,W,5,0,Nottingham Forest,1.7,1.0,50.0,16,10,1.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2025-02-01,Home,L,0,2,Liverpool,1.6,2.5,49.0,14,3,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2025-02-15,Away,W,3,1,Southampton,1.2,0.8,56.0,14,7,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2025-02-22,Home,L,0,1,Wolverhampton Wanderers,0.9,2.0,46.0,8,3,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
2025-02-25,Away,L,1,2,Brighton and Hove Albion,1.5,2.4,56.0,19,5,0.0,0,Bournemouth,https://cdn.ssref.net/req/202502211/tlogo/fb/4ba7cbea.png
