Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Sh,SoT,FK,PKatt,Team,Logo
2024-08-18,Home,W,2,1,Crystal Palace,1.6,1.2,46.0,9,5,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-08-25,Away,L,0,2,Liverpool,0.5,2.5,38.0,8,2,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-08-31,Home,W,3,1,Southampton,2.8,1.5,37.0,20,7,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-09-14,Away,L,1,2,Manchester City,1.0,2.1,46.0,8,5,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-09-21,Away,L,1,3,Tottenham Hotspur,0.8,3.5,52.0,6,6,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-09-28,Home,D,1,1,West Ham United,0.4,1.0,57.0,8,3,1.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-10-05,Home,W,5,3,Wolverhampton Wanderers,4.2,1.0,44.0,18,11,1.0,1,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-10-19,Away,L,1,2,Manchester United,0.9,1.3,50.0,8,2,1.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-10-26,Home,W,4,3,Ipswich Town,4.0,1.3,65.0,19,8,1.0,1,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-11-04,Away,L,1,2,Fulham,0.6,1.3,32.0,5,2,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-11-09,Home,W,3,2,Bournemouth,1.5,2.6,51.0,12,6,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-11-23,Away,D,0,0,Everton,1.1,1.2,41.0,9,2,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-11-30,Home,W,4,1,Leicester City,2.4,1.1,60.0,13,6,1.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-12-04,Away,L,1,3,Aston Villa,0.9,2.4,51.0,9,1,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-12-07,Home,W,4,2,Newcastle United,1.2,1.5,43.0,11,7,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-12-15,Away,L,1,2,Chelsea,1.6,2.2,38.0,9,4,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-12-21,Home,L,0,2,Nottingham Forest,0.7,0.9,64.0,7,3,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2024-12-27,Away,D,0,0,Brighton and Hove Albion,1.1,1.3,43.0,8,3,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2025-01-01,Home,L,1,3,Arsenal,0.3,1.9,50.0,5,2,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2025-01-04,Away,W,5,0,Southampton,4.4,0.3,50.0,19,9,0.0,1,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2025-01-14,Home,D,2,2,Manchester City,2.5,2.2,45.0,18,5,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2025-01-18,Home,L,0,2,Liverpool,0.7,3.4,40.0,11,6,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2025-01-26,Away,W,2,1,Crystal Palace,1.3,1.1,53.0,11,5,1.0,1,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2025-02-02,Home,L,0,2,Tottenham Hotspur,2.1,0.8,54.0,20,3,1.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2025-02-15,Away,W,1,0,West Ham United,1.6,0.8,42.0,14,5,1.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2025-02-21,Away,W,4,0,Leicester City,1.5,0.5,52.0,14,6,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
2025-02-26,Home,D,1,1,Everton,1.4,1.5,52.0,12,3,0.0,0,Brentford,https://cdn.ssref.net/req/202502211/tlogo/fb/cd051869.png
