Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Sh,SoT,FK,PKatt,Team,Logo
2024-08-18,Away,L,1.0,2.0,Brentford,1.2,1.6,54.0,14,6,1.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-08-24,Home,L,0.0,2.0,West Ham United,1.3,1.4,58.0,14,2,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-09-01,Away,D,1.0,1.0,Chelsea,0.5,2.4,38.0,9,3,1.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-09-14,Home,D,2.0,2.0,Leicester City,2.5,1.2,66.0,19,3,1.0,1,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-09-21,Home,D,0.0,0.0,Manchester United,1.0,1.6,33.0,9,4,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-09-28,Away,L,1.0,2.0,Everton,0.9,0.9,59.0,17,4,1.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-10-05,Home,L,0.0,1.0,Liverpool,0.6,1.4,32.0,9,5,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-10-21,Away,L,0.0,1.0,Nottingham Forest,1.0,1.7,49.0,20,7,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-10-27,Home,W,1.0,0.0,Tottenham Hotspur,0.8,0.7,34.0,14,6,1.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-11-02,Away,D,2.0,2.0,Wolverhampton Wanderers,2.4,1.5,43.0,19,6,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-11-09,Home,L,0.0,2.0,Fulham,1.5,1.8,36.0,13,4,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-11-23,Away,D,2.0,2.0,Aston Villa,1.3,3.0,31.0,13,6,1.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-11-30,Home,D,1.0,1.0,Newcastle United,1.7,0.0,49.0,16,3,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-12-03,Away,W,1.0,0.0,Ipswich Town,1.6,0.5,46.0,13,3,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-12-07,Home,D,2.0,2.0,Manchester City,1.3,1.4,32.0,12,3,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-12-15,Away,W,3.0,1.0,Brighton and Hove Albion,2.2,1.0,36.0,13,5,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-12-21,Home,L,1.0,5.0,Arsenal,1.6,2.5,42.0,15,6,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-12-26,Away,D,0.0,0.0,Bournemouth,0.4,1.4,48.0,10,4,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2024-12-29,Home,W,2.0,1.0,Southampton,2.0,0.9,47.0,19,9,2.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2025-01-04,Home,D,1.0,1.0,Chelsea,1.1,1.2,39.0,13,6,1.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2025-01-15,Away,W,2.0,0.0,Leicester City,1.8,1.7,43.0,9,4,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2025-01-18,Away,W,2.0,0.0,West Ham United,1.3,0.3,47.0,11,6,0.0,1,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2025-01-26,Home,L,1.0,2.0,Brentford,1.1,1.3,47.0,16,5,2.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2025-02-02,Away,W,2.0,0.0,Manchester United,2.6,1.1,34.0,11,3,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2025-02-15,Home,L,1.0,2.0,Everton,1.6,0.9,58.0,17,6,0.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2025-02-22,Away,W,2.0,0.0,Fulham,1.3,0.2,38.0,10,5,1.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
2025-02-25,Home,W,4.0,1.0,Aston Villa,4.3,0.4,36.0,19,6,1.0,0,Crystal Palace,https://cdn.ssref.net/req/202502211/tlogo/fb/47c64c55.png
