Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Sh,SoT,FK,PKatt,Team,Logo
2024-08-17,Home,L,0,3,Brighton and Hove Albion,0.5,1.4,40.0,9,1,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-08-24,Away,L,0,4,Tottenham Hotspur,1.0,2.4,30.0,10,1,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-08-31,Home,L,2,3,Bournemouth,1.8,2.4,47.0,18,8,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-09-14,Away,L,2,3,Aston Villa,0.9,2.1,28.0,6,2,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-09-21,Away,D,1,1,Leicester City,1.1,0.7,42.0,17,5,1.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-09-28,Home,W,2,1,Crystal Palace,0.9,0.9,41.0,8,2,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-10-05,Home,D,0,0,Newcastle United,0.7,2.1,33.0,8,2,1.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-10-19,Away,W,2,0,Ipswich Town,1.7,1.3,45.0,11,8,1.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-10-26,Home,D,1,1,Fulham,0.8,1.2,40.0,10,5,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-11-02,Away,L,0,1,Southampton,1.6,0.7,35.0,16,5,2.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-11-09,Away,D,0,0,West Ham United,1.1,0.8,51.0,18,4,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-11-23,Home,D,0,0,Brentford,1.2,1.1,59.0,27,5,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-12-01,Away,L,0,4,Manchester United,0.6,1.1,40.0,8,2,2.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-12-04,Home,W,4,0,Wolverhampton Wanderers,1.0,0.8,44.0,13,4,1.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-12-14,Away,D,0,0,Arsenal,0.1,1.2,24.0,2,0,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-12-22,Home,D,0,0,Chelsea,1.0,1.2,25.0,5,4,1.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-12-26,Away,D,1,1,Manchester City,0.7,2.1,34.0,8,3,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2024-12-29,Home,L,0,2,Nottingham Forest,0.9,1.5,64.0,13,2,1.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2025-01-04,Away,L,0,1,Bournemouth,0.7,1.8,42.0,9,0,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2025-01-15,Home,L,0,1,Aston Villa,1.1,1.2,50.0,10,2,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2025-01-19,Home,W,3,2,Tottenham Hotspur,1.8,1.1,36.0,12,6,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2025-01-25,Away,W,1,0,Brighton and Hove Albion,0.8,0.7,31.0,2,0,0.0,1,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2025-02-01,Home,W,4,0,Leicester City,2.5,0.3,48.0,13,7,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2025-02-12,Home,D,2,2,Liverpool,1.0,0.6,37.0,10,3,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2025-02-15,Away,W,2,1,Crystal Palace,0.9,1.6,42.0,11,6,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2025-02-22,Home,D,2,2,Manchester United,1.6,0.4,38.0,9,8,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
2025-02-26,Away,D,1,1,Brentford,1.5,1.4,48.0,14,4,0.0,0,Everton,https://cdn.ssref.net/req/202502211/tlogo/fb/d3fd31cc.png
