Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Sh,SoT,FK,PKatt,Team,Logo
2024-08-16,Away,L,0,1,Manchester United,0.4,2.4,45.0,10,2,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-08-24,Home,W,2,1,Leicester City,1.8,0.6,54.0,18,6,1.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-08-31,Away,D,1,1,Ipswich Town,0.9,0.4,52.0,9,4,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-09-14,Home,D,1,1,West Ham United,1.5,0.8,54.0,21,5,2.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-09-21,Home,W,3,1,Newcastle United,2.2,1.5,39.0,22,11,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-09-28,Away,W,1,0,Nottingham Forest,1.3,0.8,59.0,13,1,0.0,1,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-10-05,Away,L,2,3,Manchester City,2.6,1.6,42.0,11,4,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-10-19,Home,L,1,3,Aston Villa,1.8,1.6,52.0,9,3,0.0,1,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-10-26,Away,D,1,1,Everton,1.2,0.8,60.0,14,3,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-11-04,Home,W,2,1,Brentford,1.3,0.6,68.0,26,12,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-11-09,Away,W,2,0,Crystal Palace,1.8,1.5,64.0,17,7,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-11-23,Home,L,1,4,Wolverhampton Wanderers,1.0,1.3,59.0,10,3,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-12-01,Away,D,1,1,Tottenham Hotspur,1.5,0.8,49.0,14,6,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-12-05,Home,W,3,1,Brighton and Hove Albion,1.1,1.4,43.0,6,2,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-12-08,Home,D,1,1,Arsenal,0.2,1.8,34.0,2,2,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-12-14,Away,D,2,2,Liverpool,1.2,2.1,39.0,12,3,1.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-12-22,Home,D,0,0,Southampton,0.9,0.3,57.0,15,5,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-12-26,Away,W,2,1,Chelsea,1.8,1.1,53.0,14,7,1.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2024-12-29,Home,D,2,2,Bournemouth,1.1,2.0,52.0,11,6,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2025-01-05,Home,D,2,2,Ipswich Town,2.2,1.5,73.0,13,2,0.0,2,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2025-01-14,Away,L,2,3,West Ham United,1.7,1.0,56.0,21,4,1.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2025-01-18,Away,W,2,0,Leicester City,2.0,0.6,60.0,17,2,1.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2025-01-26,Home,L,0,1,Manchester United,0.7,0.3,51.0,9,2,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2025-02-01,Away,W,2,1,Newcastle United,1.6,0.8,51.0,15,4,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2025-02-15,Home,W,2,1,Nottingham Forest,2.1,0.4,55.0,24,10,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2025-02-22,Home,L,0,2,Crystal Palace,0.2,1.3,62.0,10,0,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
2025-02-25,Away,W,2,1,Wolverhampton Wanderers,1.7,1.3,40.0,11,5,0.0,0,Fulham,https://cdn.ssref.net/req/202502211/tlogo/fb/fd962109.png
