Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Sh,SoT,FK,PKatt,Team,Logo
2024-08-19,Home,D,1,1,Tottenham Hotspur,1.0,1.2,30.0,7,3,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-08-24,Away,L,1,2,Fulham,0.6,1.8,46.0,10,4,1.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-08-31,Home,L,1,2,Aston Villa,0.4,1.4,57.0,9,3,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-09-14,Away,D,2,2,Crystal Palace,1.2,2.5,34.0,9,4,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-09-21,Home,D,1,1,Everton,0.7,1.1,58.0,12,2,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-09-28,Away,L,2,4,Arsenal,0.3,4.4,26.0,5,3,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-10-05,Home,W,1,0,Bournemouth,0.8,2.1,45.0,6,2,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-10-19,Away,W,3,2,Southampton,3.1,2.1,58.0,17,3,0.0,1,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-10-25,Home,L,1,3,Nottingham Forest,0.8,1.7,65.0,11,1,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-11-02,Away,D,1,1,Ipswich Town,1.5,1.0,57.0,20,5,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-11-10,Away,L,0,3,Manchester United,0.6,0.8,49.0,6,5,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-11-23,Home,L,1,2,Chelsea,1.1,2.7,37.0,3,0,0.0,1,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-11-30,Away,L,1,4,Brentford,1.1,2.4,40.0,7,3,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-12-03,Home,W,3,1,West Ham United,1.7,3.0,39.0,8,6,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-12-08,Home,D,2,2,Brighton and Hove Albion,1.3,1.5,56.0,10,3,1.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-12-14,Away,L,0,4,Newcastle United,0.2,3.8,41.0,4,1,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-12-22,Home,L,0,3,Wolverhampton Wanderers,0.8,1.1,54.0,9,4,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-12-26,Away,L,1,3,Liverpool,0.3,2.0,32.0,4,1,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2024-12-29,Home,L,0,2,Manchester City,1.3,1.3,53.0,11,3,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2025-01-04,Away,L,1,2,Aston Villa,0.4,1.4,40.0,4,2,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2025-01-15,Home,L,0,2,Crystal Palace,1.7,1.8,57.0,21,4,2.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2025-01-18,Home,L,0,2,Fulham,0.6,2.0,40.0,8,4,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2025-01-26,Away,W,2,1,Tottenham Hotspur,1.6,1.0,39.0,12,3,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2025-02-01,Away,L,0,4,Everton,0.3,2.5,52.0,9,1,1.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2025-02-15,Home,L,0,2,Arsenal,0.2,1.4,40.0,6,2,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2025-02-21,Home,L,0,4,Brentford,0.5,1.5,48.0,8,3,0.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
2025-02-27,Away,L,0,2,West Ham United,0.4,1.3,42.0,10,2,1.0,0,Leicester City,https://cdn.ssref.net/req/202502211/tlogo/fb/a2d435b3.png
