Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Sh,SoT,FK,PKatt,Team,Logo
2024-08-17,Away,W,2.0,0.0,Ipswich Town,2.6,0.5,62.0,18,5,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-08-25,Home,W,2.0,0.0,Brentford,2.5,0.5,62.0,19,8,1.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-09-01,Away,W,3.0,0.0,Manchester United,1.8,1.4,47.0,11,3,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-09-14,Home,L,0.0,1.0,Nottingham Forest,0.9,0.4,68.0,14,5,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-09-21,Home,W,3.0,0.0,Bournemouth,2.0,1.1,58.0,19,12,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-09-28,Away,W,2.0,1.0,Wolverhampton Wanderers,2.5,0.6,55.0,9,5,1.0,1,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-10-05,Away,W,1.0,0.0,Crystal Palace,1.4,0.6,68.0,16,4,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-10-20,Home,W,2.0,1.0,Chelsea,1.9,1.0,43.0,8,4,1.0,1,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-10-27,Away,D,2.0,2.0,Arsenal,0.8,0.9,55.0,9,4,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-11-02,Home,W,2.0,1.0,Brighton and Hove Albion,1.6,1.0,49.0,16,8,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-11-09,Home,W,2.0,0.0,Aston Villa,2.0,1.2,62.0,14,5,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-11-24,Away,W,3.0,2.0,Southampton,3.1,1.3,62.0,26,10,1.0,1,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-12-01,Home,W,2.0,0.0,Manchester City,3.4,0.8,44.0,17,6,0.0,1,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-12-04,Away,D,3.0,3.0,Newcastle United,1.9,2.1,58.0,16,5,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-12-14,Home,D,2.0,2.0,Fulham,2.1,1.2,61.0,16,4,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-12-22,Away,W,6.0,3.0,Tottenham Hotspur,5.6,1.3,48.0,24,11,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-12-26,Home,W,3.0,1.0,Leicester City,2.0,0.3,68.0,19,7,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2024-12-29,Away,W,5.0,0.0,West Ham United,3.1,0.4,54.0,22,13,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2025-01-05,Home,D,2.0,2.0,Manchester United,2.7,1.0,53.0,18,5,1.0,1,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2025-01-14,Away,D,1.0,1.0,Nottingham Forest,2.0,0.3,70.0,23,6,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2025-01-18,Away,W,2.0,0.0,Brentford,3.4,0.7,60.0,37,8,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2025-01-25,Home,W,4.0,1.0,Ipswich Town,2.0,0.5,70.0,16,6,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2025-02-01,Away,W,2.0,0.0,Bournemouth,2.5,1.6,51.0,18,6,0.0,1,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2025-02-12,Away,D,2.0,2.0,Everton,0.6,1.0,63.0,6,4,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2025-02-16,Home,W,2.0,1.0,Wolverhampton Wanderers,1.7,1.5,50.0,9,2,0.0,1,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2025-02-19,Away,D,2.0,2.0,Aston Villa,2.5,0.6,48.0,17,3,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2025-02-23,Away,W,2.0,0.0,Manchester City,0.7,0.6,34.0,8,4,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
2025-02-26,Home,W,2.0,0.0,Newcastle United,1.7,0.2,61.0,12,3,0.0,0,Liverpool,https://cdn.ssref.net/req/202502211/tlogo/fb/822bd0ba.png
