Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Sh,SoT,FK,PKatt,Team,Logo
2024-08-18,Away,W,2,0,Chelsea,0.8,1.0,52.0,11,5,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-08-24,Home,W,4,1,Ipswich Town,3.3,0.3,75.0,13,4,1.0,1,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-08-31,Away,W,3,1,West Ham United,3.0,0.7,67.0,23,8,1.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-09-14,Home,W,2,1,Brentford,2.1,1.0,54.0,18,7,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-09-22,Home,D,2,2,Arsenal,2.1,0.7,77.0,33,11,1.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-09-28,Away,D,1,1,Newcastle United,0.9,1.6,62.0,16,6,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-10-05,Home,W,3,2,Fulham,1.6,2.6,58.0,20,7,1.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-10-20,Away,W,2,1,Wolverhampton Wanderers,1.6,0.8,77.0,22,7,2.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-10-26,Home,W,1,0,Southampton,2.9,0.2,57.0,22,7,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-11-02,Away,L,1,2,Bournemouth,1.6,2.0,64.0,18,4,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-11-09,Away,L,1,2,Brighton and Hove Albion,2.1,2.3,60.0,15,6,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-11-23,Home,L,0,4,Tottenham Hotspur,2.1,2.5,58.0,23,5,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-12-01,Away,L,0,2,Liverpool,0.8,3.4,56.0,8,2,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-12-04,Home,W,3,0,Nottingham Forest,2.4,1.0,66.0,17,6,1.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-12-07,Away,D,2,2,Crystal Palace,1.4,1.3,68.0,12,4,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-12-15,Home,L,1,2,Manchester United,0.9,2.1,52.0,10,3,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-12-21,Away,L,1,2,Aston Villa,1.0,1.6,56.0,12,6,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-12-26,Home,D,1,1,Everton,2.1,0.7,66.0,23,4,1.0,1,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2024-12-29,Away,W,2,0,Leicester City,1.3,1.3,47.0,14,5,1.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2025-01-04,Home,W,4,1,West Ham United,1.9,1.4,56.0,10,7,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2025-01-14,Away,D,2,2,Brentford,2.2,2.5,55.0,21,8,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2025-01-19,Away,W,6,0,Ipswich Town,3.0,0.5,67.0,17,9,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2025-01-25,Home,W,3,1,Chelsea,2.2,1.8,56.0,15,6,1.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2025-02-02,Away,L,1,5,Arsenal,0.8,1.0,54.0,7,4,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2025-02-15,Home,W,4,0,Newcastle United,1.9,0.5,61.0,11,7,0.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2025-02-23,Home,L,0,2,Liverpool,0.6,0.7,66.0,16,5,1.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
2025-02-26,Away,W,1,0,Tottenham Hotspur,2.1,1.3,45.0,12,5,1.0,0,Manchester City,https://cdn.ssref.net/req/202502211/tlogo/fb/b8fd03ef.png
