Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Sh,SoT,FK,PKatt,Team,Logo
2024-08-17,Home,W,1,0,Southampton,0.3,1.8,23.0,3,1,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-08-25,Away,D,1,1,Bournemouth,1.6,2.2,61.0,14,5,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-09-01,Home,W,2,1,Tottenham Hotspur,1.8,1.2,35.0,9,3,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-09-15,Away,W,2,1,Wolverhampton Wanderers,1.5,1.2,51.0,14,6,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-09-21,Away,L,1,3,Fulham,1.5,2.2,61.0,16,5,1.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-09-28,Home,D,1,1,Manchester City,1.6,0.9,38.0,10,3,0.0,1,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-10-05,Away,D,0,0,Everton,2.1,0.7,67.0,13,1,0.0,1,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-10-19,Home,L,0,1,Brighton and Hove Albion,2.0,1.1,60.0,21,6,2.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-10-27,Away,L,1,2,Chelsea,1.8,1.6,50.0,11,2,1.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-11-02,Home,W,1,0,Arsenal,0.5,1.1,37.0,9,4,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-11-10,Away,W,3,1,Nottingham Forest,1.6,0.6,56.0,17,6,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-11-25,Home,L,0,2,West Ham United,1.6,0.9,53.0,18,2,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-11-30,Away,D,1,1,Crystal Palace,0.0,1.7,51.0,1,0,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-12-04,Home,D,3,3,Liverpool,2.1,1.9,42.0,17,6,1.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-12-07,Away,L,2,4,Brentford,1.5,1.2,57.0,16,3,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-12-14,Home,W,4,0,Leicester City,3.8,0.2,59.0,27,11,1.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-12-21,Away,W,4,0,Ipswich Town,2.3,0.7,58.0,15,7,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-12-26,Home,W,3,0,Aston Villa,2.7,0.3,62.0,22,7,1.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2024-12-30,Away,W,2,0,Manchester United,1.9,0.8,48.0,12,4,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2025-01-04,Away,W,2,1,Tottenham Hotspur,2.5,0.9,44.0,14,4,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2025-01-15,Home,W,3,0,Wolverhampton Wanderers,2.1,1.6,60.0,17,5,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2025-01-18,Home,L,1,4,Bournemouth,0.8,2.0,56.0,13,4,1.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2025-01-25,Away,W,3,1,Southampton,2.9,0.8,47.0,16,7,0.0,1,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2025-02-01,Home,L,1,2,Fulham,0.8,1.6,49.0,11,4,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2025-02-15,Away,L,0,4,Manchester City,0.5,1.9,39.0,3,1,0.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2025-02-23,Home,W,4,3,Nottingham Forest,2.9,1.7,57.0,12,4,0.0,1,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
2025-02-26,Away,L,0,2,Liverpool,0.2,1.7,39.0,3,0,1.0,0,Newcastle United,https://cdn.ssref.net/req/202502211/tlogo/fb/b2b47a98.png
