Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Sh,SoT,FK,PKatt,Team,Logo
2024-08-17,Away,L,0,1,Newcastle United,1.8,0.3,77.0,19,3,1.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-08-24,Home,L,0,1,Nottingham Forest,0.1,2.2,64.0,5,1,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-08-31,Away,L,1,3,Brentford,1.5,2.8,63.0,18,6,1.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-09-14,Home,L,0,3,Manchester United,1.1,2.6,44.0,5,2,0.0,1,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-09-21,Home,D,1,1,Ipswich Town,2.4,1.6,53.0,11,3,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-09-30,Away,L,1,3,Bournemouth,0.6,1.3,60.0,9,3,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-10-05,Away,L,1,3,Arsenal,0.6,2.8,41.0,8,2,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-10-19,Home,L,2,3,Leicester City,2.1,3.1,42.0,14,7,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-10-26,Away,L,0,1,Manchester City,0.2,2.9,43.0,5,2,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-11-02,Home,W,1,0,Everton,0.7,1.6,65.0,9,2,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-11-09,Away,L,0,2,Wolverhampton Wanderers,0.6,1.3,71.0,9,0,1.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-11-24,Home,L,2,3,Liverpool,1.3,3.1,38.0,6,4,0.0,1,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-11-29,Away,D,1,1,Brighton and Hove Albion,1.0,1.7,47.0,10,2,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-12-04,Home,L,1,5,Chelsea,1.6,5.2,45.0,6,4,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-12-07,Away,L,0,1,Aston Villa,0.3,2.3,53.0,4,0,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-12-15,Home,L,0,5,Tottenham Hotspur,0.8,2.3,42.0,9,3,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-12-22,Away,D,0,0,Fulham,0.3,0.9,43.0,5,1,1.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-12-26,Home,L,0,1,West Ham United,1.4,1.7,54.0,18,5,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2024-12-29,Away,L,1,2,Crystal Palace,0.9,2.0,53.0,7,3,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2025-01-04,Home,L,0,5,Brentford,0.3,4.4,50.0,8,1,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2025-01-16,Away,L,1,3,Manchester United,1.4,3.4,40.0,13,5,1.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2025-01-19,Away,L,2,3,Nottingham Forest,0.9,1.8,55.0,10,3,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2025-01-25,Home,L,1,3,Newcastle United,0.8,2.9,53.0,12,5,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2025-02-01,Away,W,2,1,Ipswich Town,0.9,1.8,43.0,9,4,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2025-02-15,Home,L,1,3,Bournemouth,0.8,1.2,44.0,11,4,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2025-02-22,Home,L,0,4,Brighton and Hove Albion,0.1,3.9,50.0,6,1,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
2025-02-25,Away,L,0,4,Chelsea,0.7,2.4,40.0,7,2,0.0,0,Southampton,https://cdn.ssref.net/req/202502211/tlogo/fb/33c895d4.png
