Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Sh,SoT,FK,PKatt,Team,Logo
2024-08-19,Away,D,1.0,1.0,Leicester City,1.2,1.0,70.0,15,6,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-08-24,Home,W,4.0,0.0,Everton,2.4,1.0,70.0,13,7,1.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-09-01,Away,L,1.0,2.0,Newcastle United,1.2,1.8,65.0,20,6,1.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-09-15,Home,L,0.0,1.0,Arsenal,0.7,0.7,63.0,15,5,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-09-21,Home,W,3.0,1.0,Brentford,3.5,0.8,48.0,23,9,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-09-29,Away,W,3.0,0.0,Manchester United,4.4,1.0,61.0,24,10,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-10-06,Away,L,2.0,3.0,Brighton and Hove Albion,1.3,1.8,59.0,13,3,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-10-19,Home,W,4.0,1.0,West Ham United,1.9,0.8,57.0,22,7,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-10-27,Away,L,0.0,1.0,Crystal Palace,0.7,0.8,66.0,11,3,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-11-03,Home,W,4.0,1.0,Aston Villa,2.4,1.8,51.0,16,6,1.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-11-10,Home,L,1.0,2.0,Ipswich Town,1.5,1.6,66.0,17,5,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-11-23,Away,W,4.0,0.0,Manchester City,2.5,2.1,42.0,9,7,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-12-01,Home,D,1.0,1.0,Fulham,0.8,1.5,51.0,8,3,2.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-12-05,Away,L,0.0,1.0,Bournemouth,0.9,3.5,65.0,12,4,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-12-08,Home,L,3.0,4.0,Chelsea,2.8,2.8,39.0,13,5,1.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-12-15,Away,W,5.0,0.0,Southampton,2.3,0.8,58.0,18,9,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-12-22,Home,L,3.0,6.0,Liverpool,1.3,5.6,52.0,9,5,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-12-26,Away,L,0.0,1.0,Nottingham Forest,0.9,1.1,70.0,13,4,1.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2024-12-29,Home,D,2.0,2.0,Wolverhampton Wanderers,2.2,0.7,48.0,12,2,0.0,1,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2025-01-04,Home,L,1.0,2.0,Newcastle United,0.9,2.5,56.0,13,4,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2025-01-15,Away,L,1.0,2.0,Arsenal,0.8,1.4,47.0,10,2,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2025-01-19,Away,L,2.0,3.0,Everton,1.1,1.8,64.0,11,5,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2025-01-26,Home,L,1.0,2.0,Leicester City,1.0,1.6,61.0,15,6,1.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2025-02-02,Away,W,2.0,0.0,Brentford,0.8,2.1,46.0,13,2,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2025-02-16,Home,W,1.0,0.0,Manchester United,2.2,1.5,55.0,22,7,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2025-02-22,Away,W,4.0,1.0,Ipswich Town,1.7,1.1,58.0,10,6,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
2025-02-26,Home,L,0.0,1.0,Manchester City,1.3,2.1,55.0,11,6,0.0,0,Tottenham Hotspur,https://cdn.ssref.net/req/202502211/tlogo/fb/361ca564.png
