Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Sh,SoT,FK,PKatt,Team,Logo
2024-08-17,Home,L,1.0,2.0,Aston Villa,2.3,2.0,52.0,13,2,0.0,1,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-08-24,Away,W,2.0,0.0,Crystal Palace,1.4,1.3,42.0,18,3,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-08-31,Home,L,1.0,3.0,Manchester City,0.7,3.0,33.0,10,2,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-09-14,Away,D,1.0,1.0,Fulham,0.8,1.5,46.0,11,3,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-09-21,Home,L,0.0,3.0,Chelsea,0.9,2.2,53.0,15,7,1.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-09-28,Away,D,1.0,1.0,Brentford,1.0,0.4,43.0,19,3,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-10-05,Home,W,4.0,1.0,Ipswich Town,3.6,0.6,52.0,23,12,1.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-10-19,Away,L,1.0,4.0,Tottenham Hotspur,0.8,1.9,43.0,11,3,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-10-27,Home,W,2.0,1.0,Manchester United,2.8,2.3,42.0,11,2,0.0,1,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-11-02,Away,L,0.0,3.0,Nottingham Forest,0.1,2.2,46.0,4,1,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-11-09,Home,D,0.0,0.0,Everton,0.8,1.1,49.0,11,6,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-11-25,Away,W,2.0,0.0,Newcastle United,0.9,1.6,47.0,15,6,1.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-11-30,Home,L,2.0,5.0,Arsenal,1.5,3.5,40.0,12,5,2.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-12-03,Away,L,1.0,3.0,Leicester City,3.0,1.7,61.0,31,8,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-12-09,Home,W,2.0,1.0,Wolverhampton Wanderers,1.0,1.4,54.0,19,4,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-12-16,Away,D,1.0,1.0,Bournemouth,2.1,1.9,48.0,15,2,0.0,1,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-12-21,Home,D,1.0,1.0,Brighton and Hove Albion,1.2,0.9,47.0,11,4,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-12-26,Away,W,1.0,0.0,Southampton,1.7,1.4,46.0,16,2,1.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2024-12-29,Home,L,0.0,5.0,Liverpool,0.4,3.1,46.0,7,0,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2025-01-04,Away,L,1.0,4.0,Manchester City,1.4,1.9,44.0,17,4,1.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2025-01-14,Home,W,3.0,2.0,Fulham,1.0,1.7,44.0,4,3,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2025-01-18,Home,L,0.0,2.0,Crystal Palace,0.3,1.3,53.0,7,0,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2025-01-26,Away,D,1.0,1.0,Aston Villa,1.3,0.9,54.0,14,3,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2025-02-03,Away,L,1.0,2.0,Chelsea,1.2,1.6,32.0,14,5,1.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2025-02-15,Home,L,0.0,1.0,Brentford,0.8,1.6,58.0,13,3,2.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2025-02-22,Away,W,1.0,0.0,Arsenal,1.1,1.2,32.0,5,2,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
2025-02-27,Home,W,2.0,0.0,Leicester City,1.3,0.4,58.0,8,2,0.0,0,West Ham United,https://cdn.ssref.net/req/202502211/tlogo/fb/7c21e445.png
